N°;Année;Ville Org;Département Org;Joueur 1;Joueur 2;Joueur 3;Categorie;Formation;Sexe;Département Représenté;Comité/Ligue Représenté;Ville Représentée;Club Représenté
118;2016;Lanester;56;ROCHER Dylan;LACROIX Henri;;SENIOR;DOUBLETTE;MASCULIN;83;Var;Draguignan;A-B-C Draguignan
119;1966;Paris;75;ARCOLAO Ange;;;SENIOR;TETE A TETE;MASCULIN;06;Alpes Maritimes;Cagnes/mer;U-S-Cagnes
120;1967;St-Etienne;42;DEJEAN Daniel;;;SENIOR;TETE A TETE;MASCULIN;09;Ariège;Pamiers;Millane-Pétanque
121;1968;Espalion;12;PHILIPOT Henri;;;SENIOR;TETE A TETE;MASCULIN;40;Landes;Mont-de-Marsan;Stade-Montois-Pétanque
122;1969;Nevers;58;BALDI Alphonse;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Toulon;Boule Provençale
123;1970;Montauban;82;LEGLISE Ernest;;;SENIOR;TETE A TETE;MASCULIN;06;Alpes Maritimes;St-Paul-de-Vence;Pétanque St-Pauloise
124;1971;Cannes;6;GINDRAUD Guy;;;SENIOR;TETE A TETE;MASCULIN;16;Charente;Cognac;Joyeux Boulistes
125;1972;Roubaix;59;GOUGES François;;;SENIOR;TETE A TETE;MASCULIN;66;Pyrénées-Orientales;Banyuls;Pétanque Banyulenque
126;1973;Le Mans;72;TRAWINSKI Jean;;;SENIOR;TETE A TETE;MASCULIN;30;Gard;Bagnols/Cèze;A-S-C-E-A-M
127;1974;Orléans;45;MORALES José;;;SENIOR;TETE A TETE;MASCULIN;65;Hautes-Pyrénées;Tarbes;Les Aiglons
128;1975;Clermont-Ferrand;63;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
129;1976;Poitiers;86;GINIER Claude;;;SENIOR;TETE A TETE;MASCULIN;04;Alpes-de-Haute-Provence;Digne;Boule Dignoise
130;1977;Toulouse;31;GOUGES François;;;SENIOR;TETE A TETE;MASCULIN;66;Pyrénées-Orientales;Banyuls;Pétanque Banyulenque
131;1978;Bagneux;92;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
132;1979;Mulhouse;68;VALISSANT Dominique;;;SENIOR;TETE A TETE;MASCULIN;02;Aisne;Laon;Pétanque Laonnoise
133;1980;Perpignan;66;COULOMB René;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Fréjus;ASPTT Fréjus
134;1981;Pau;64;COULOMB René;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Fréjus;ASPTT Fréjus
135;1982;Chambéry;73;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
136;1983;Dunkerque;59;COMBARNOUS Christian;;;SENIOR;TETE A TETE;MASCULIN;67;Bas-Rhin;Strasbourg;Club-Bouliste-Strasbourg
137;1984;Montpellier;34;LOIZE Maurice;;;SENIOR;TETE A TETE;MASCULIN;02;Aisne;Laon;Pétanque La Neuvilloise
138;1985;Limoges;87;LACAS André;;;SENIOR;TETE A TETE;MASCULIN;84;Vaucluse;Sorgues;Entente-Bouliste-Sorgues
139;1986;Albi;81;COULOMB René;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Draguignan;B-J-Dracénoise
140;1987;Vichy;3;KEBBATI Morad;;;SENIOR;TETE A TETE;MASCULIN;95;Val d'Oise;Goussainville;C-S-M Goussainville
141;1988;Brest;29;QUINTAIS Philippe;;;SENIOR;TETE A TETE;MASCULIN;28;Eure & Loire;Hanches;A-S-Hanches
142;1989;Epinal;88;WATIEZ Jean-Pierre;;;SENIOR;TETE A TETE;MASCULIN;75;Paris;Paris;J-B-Buttes-Chaumont
143;1990;Cannet-Rocheville;6;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
144;1991;Reims;51;LE DANTEC David;;;SENIOR;TETE A TETE;MASCULIN;22;Côtes d'Armor;Pleudihen;A-S Pleudihen
145;1992;Nevers;58;LE DANTEC David;;;SENIOR;TETE A TETE;MASCULIN;29;Finistère;Concarneau;Douric Ar Zin
146;1993;St-Saulve;59;BRIAND Michel;;;SENIOR;TETE A TETE;MASCULIN;30;Gard;Bagnols/Cèze;Pétanque Atomique
147;1994;St-Avold;57;CABARRET Philippe;;;SENIOR;TETE A TETE;MASCULIN;54;Meuthe & Moselle;Pont-à-Mousson;PàM Pétanque
148;1995;Annecy;74;MORILLON Laurent;;;SENIOR;TETE A TETE;MASCULIN;86;Vienne;Poitiers;Pétanque-Montmidi
149;1996;Rosny/Bois;93;BRIAND Michel;;;SENIOR;TETE A TETE;MASCULIN;30;Gard;Bagnols/Cèze;Pétanque Atomique
150;1997;Melun;77;ROCHER Bruno;;;SENIOR;TETE A TETE;MASCULIN;72;Sarthe;Le Mans;P-A-C Les Sources
151;1998;Chambon/Voueize;23;PIZZOLATO Jérome;;;SENIOR;TETE A TETE;MASCULIN;82;Tarn & Garonne;Moissac;Pétanque Pont-Neuf
152;1999;Belfort;90;ESTHER Frédéric;;;SENIOR;TETE A TETE;MASCULIN;974;La Réunion;Le Port;Club Evariste de Parny
153;2000;Thiais;94;CHAPELAND Wilfrid;;;SENIOR;TETE A TETE;MASCULIN;69;Rhône;La Tour de Salvagny;Gentlemen-Pétanque-Club
154;2001;Aurillac;15;QUINTAIS Philippe;;;SENIOR;TETE A TETE;MASCULIN;28;Eure & Loire;Hanches;Hanches-Pétanque
155;2002;Cournon d'Auvergne;63;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
156;2003;Dijon;21;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
157;2004;Nevers;58;PILEWSKI Sylvain;;;SENIOR;TETE A TETE;MASCULIN;77;Seine & Marne;Verneuil l'Etang;P-M-Verneuil
158;2005;Caen;14;RIZO Daniel;;;SENIOR;TETE A TETE;MASCULIN;06;Alpes Maritimes;Nice;Département Union Club
159;2006;Belfort;90;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Auvergne;Montluçon;Amicale les Marais
160;2007;St-Louis;68;TREMBLEAU Christophe;;;SENIOR;TETE A TETE;MASCULIN;45;Centre;Sully/Loire;C-S-M-Sullylois
161;2008;Bourg St-Andéol;7;RANQUINE Sébastien;;;SENIOR;TETE A TETE;MASCULIN;64;Pyrénées-Atlantiques;Pau;Pétanque Pasteur
162;2009;Aurillac;15;GEORGET Cyril;;;SENIOR;TETE A TETE;MASCULIN;86;Vienne;Chauvigny;Pétanque Club
163;2010;Soustons;40;PHILIPSON Kévin;;;SENIOR;TETE A TETE;MASCULIN;80;Picardie;Ribemont/Ancre;Boule Joyeuse
164;2011;Brive;19;SEVILLA Christophe;;;SENIOR;TETE A TETE;MASCULIN;27;Eure;Damville;Amicale Bouliste Damville
165;2012;Beaucaire;30;ROUSSEAU Sébastien;;;SENIOR;TETE A TETE;MASCULIN;94;Val-de-Marne;Fresnes;Association Amicale Sportive
166;2013;Caen;14;DA CUNHA Sébastien;;;SENIOR;TETE A TETE;MASCULIN;46;Lot;Gourdon;Gourdon Pétanque
167;2014;Gruissan;11;ROCHER Dylan;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Draguignan;Association Bouliste des Clubs de Draguignan
168;2015;Troyes;10;ROCHER Dylan;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Draguignan;Association Bouliste des Clubs de Draguignan
169;2016;Montauban;82;LACROIX Henri;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Draguignan;Association Bouliste des Clubs de Draguignan
252;1992;Toulouse;31;DELSOL Pierre;ROBERT Jacques;LUFLADE Jean;VETERAN;TRIPLETTE;MASCULIN;33;Gironde;Bègles;A-P-La Ferrade
253;1993;Sète;34;TCHILLIAN Marcel;CAMPILLO Barbino;SUZANNE Raymond;VETERAN;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;La Bouilladisse;Union Boule Bassin Minier
254;1994;Dijon;21;TCHILLIAN Marcel;CAMPILLO Barbino;SUZANNE Raymond;VETERAN;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;La Bouilladisse;Union Boule Bassin Minier
255;1995;Vals-les-Bains;7;MANOUKIAN Jean;GORTCHAKOFF Paul;BIANCOTTO Jacques;VETERAN;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Carry-le-Rouet;Pétanque Carryenne
256;1996;Soustons;40;KOENIG Emile;BERTHET Jean-Pierre;FAZZINO Antoine;VETERAN;TRIPLETTE;MASCULIN;06;Alpes Maritimes;Nice;C-B du XV Corps
257;1997;Armentières;59;DURAND J-Pierre;MUDJEREDIAN Jean;TRESANINI Ermano;VETERAN;TRIPLETTE;MASCULIN;75;Paris;Paris;Auteuil Paris Pétanque
258;1998;Voujeaucourt;25;NELL Robert;KECHTEIL Roland;ROYUELA Denis;VETERAN;TRIPLETTE;MASCULIN;31;Haute-Garonne;Toulouse;La Digue Fer à cheval
259;1999;Le Pradet;83;MANOUKIAN Jean;GORTCHAKOFF Paul;IELO Antoine;VETERAN;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Carry-le-Rouet;Pétanque Carryenne
260;2000;Soustons;40;MONNIER Francis;ALLIER Raymond;SABATIER René;VETERAN;TRIPLETTE;MASCULIN;30;Gard;Nîmes;Club Sportif Cheminots
261;2001;Lure;70;NELL Robert;KECHTEIL Roland;ROYUELA Denis;VETERAN;TRIPLETTE;MASCULIN;31;Haute-Garonne;Toulouse;La Digue Fer à cheval
262;2002;Vals-les-Bains;7;LIGOUZAT Christian;BERNARD Jean-Claude;VIGNERON Armand;VETERAN;TRIPLETTE;MASCULIN;84;Vaucluse;Le Pontet;USP-Entente Bouliste
263;2003;Limoges;87;SEMBOLINI Roland;GORTCHAKOFF Paul;VESTRI Edmond;VETERAN;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Carry-le-Rouet;Pétanque Carryenne
264;2004;Castelnaudary;11;RAJCZA Edmond;SALVADOR Denis;ISSERT Gilbert;VETERAN;TRIPLETTE;MASCULIN;30;Gard;Quissac;Boule de l'enclos
265;2005;Thônes;74;RAJCZA Edmond;SALVADOR Denis;ISSERT Gilbert;VETERAN;TRIPLETTE;MASCULIN;30;Gard;Quissac;Boule de l'enclos
266;2006;Aurillac;15;RAJCZA Edmond;SALVADOR Denis;ISSERT Gilbert;VETERAN;TRIPLETTE;MASCULIN;30;Gard;Quissac;Boule de l'enclos
267;2007;Soustons;40;DIDES Jacky;PRADEILLES Claude;METAILLER Alain;VETERAN;TRIPLETTE;MASCULIN;48;Lozère;Mende;Mende Gévaudan CP
268;2008;Ste-Livrade;47;BOYER-JOLY J-Marie;DUBOST Pierre;PEYRON J-Claude;VETERAN;TRIPLETTE;MASCULIN;26;Drome;Nyons;Pétanque Nyons
269;2009;Moulins;3;COSTA Christian;MARESTIN François;MAGALINI Giorgio;VETERAN;TRIPLETTE;MASCULIN;78;Yvelines;St-Germain en Laye;Stade St-Germanois
270;2010;Sedan;8;ENOCQ Christian;TERRADE J-Claude;GLORIAN Gabriel;VETERAN;TRIPLETTE;MASCULIN;46;Lot;Biars/Cere;Pétanque Biarnaise
271;2011;Canéjan;33;MARIN Claude;GARNERO François;DEVINI Claude;VETERAN;TRIPLETTE;MASCULIN;83;Var;Draguignan;A-B-C Draguignan
272;2012;Anduze;30;SOUCHE Jacques;COSTA Yves;BUISSON Claude;VETERAN;TRIPLETTE;MASCULIN;30;Gard;Nîmes;A-E-M
273;2013;Castelnaudary;11;BARRAUD Claude;GOLTAIS Daniel;MARCO Michel;VETERAN;TRIPLETTE;MASCULIN;35;Bretagne;Bourg-des-Comptes;Petanque Bourgcomtoise
274;2014;Mende;48;LABBE Gérard;POPINEAU Roger;DREURE Roger;VETERAN;TRIPLETTE;MASCULIN;3;Auvergne;Moulins;Pétanque Moulinoise
275;2015;Saint-Cannat;13;UHLMAN Jean;REBUFFAT Jean-Marc;HUMBLOT Gérard;VETERAN;TRIPLETTE;MASCULIN;84;Vaucluse;Carpentras;J-B-A-G Carpentras
276;2016;Guînes;62;COLL Patrick;SCHNEITER Patrick;PAILLARES Serge;VETERAN;TRIPLETTE;MASCULIN;33;Gironde;Gujan-Mestras;Petanque Gujanaise
277;1957;Toulouse;31;FERULLO Robert;TORRES Henri(1);TORRES Henri(2);JUNIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Boule de Popeye
278;1958;Valence;26;SIDNEY Gérard;CARBONNIER Pierre;GARCIA Bernard;JUNIOR;TRIPLETTE;MASCULIN;63;Puy-de-Dôme;Clermont-Ferrand;Liberté Club Pétanque
279;1959;Tarbes;65;DOTTA Jacky;COCQUENET Jacky;DONI Séraphin;JUNIOR;TRIPLETTE;MASCULIN;10;Aube;Troyes;Non Homogène
280;1960;Clermont-Ferrand;63;ARTILLAN Jean;ARTILLAN Antoine;FLOURET Fernand;JUNIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Endoume-Roseraie Boules 
281;1961;Béziers;34;RICHARD Robert;PEREZ Michel;LAPEYRE Marc;JUNIOR;TRIPLETTE;MASCULIN;11;Aude;Narbonne;ASPTT
282;1962;Bordeaux;33;RICHARD Robert;PEREZ Michel;LAPEYRE Marc;JUNIOR;TRIPLETTE;MASCULIN;11;Aude;Narbonne;ASPTT
283;1963;Toulouse;31;FERNANDEZ Jacques;LASSALLE Bernard;CHAUSY Serge;JUNIOR;TRIPLETTE;MASCULIN;33;Gironde;Bordeaux;Belcier-Pétanque
284;1964;Carcassonne;11;MEDIANI André;DEYMERDJIAN André;CERLI Antoine;JUNIOR;TRIPLETTE;MASCULIN;83;Var;Toulon;Boule Joyeuse
285;1965;Verneuil/Avre;27;PERILHOU J-Bernard;GIBERGUES J-Claude;CAUSSE Claude;JUNIOR;TRIPLETTE;MASCULIN;12;Aveyron;Villefranche de Rouergue;Pétanque Villefranchoise
286;1966;Vichy;63;ROUVIERE Serge;DEGUILHEM Patrice;DUMAS Alain;JUNIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Arles;Boule Cheminote
287;1967;Chalon/Saône;71;CHAGNEAU Philippe;CHAGNEAU J-Pierre;LOPEZ Michel;JUNIOR;TRIPLETTE;MASCULIN;33;Gironde;Bordeaux;Belcier-Pétanque
288;1968;Royan;17;MARCY Marceau;ZMUDA Joel;KUPIAK Michel;JUNIOR;TRIPLETTE;MASCULIN;94;Paris;Créteil;Cochonnet de Créteil
289;1969;Vals-les-Bains;7;DEYTS Claude;FREDON Jean-Pierre;POUYANNE Henri;JUNIOR;TRIPLETTE;MASCULIN;33;Gironde;Bordeaux;Pétanque Emile-Combes
290;1970;Limoges;87;ESTRADE Georges;LESGOURGUES Philippe;GIMENEZ Hubert;JUNIOR;TRIPLETTE;MASCULIN;31;Haute-Garonne;Toulouse;Toulouse-Electro-Gaz
291;1971;Thiers;63;VETTER Etienne;MELINA Charles;DARMAND René;JUNIOR;TRIPLETTE;MASCULIN;26;Drome;Romans;U-P-Romans
292;1972;Béziers;34;GAILLARD René;DOMENECH Raymond;PIERUCCI François;JUNIOR;TRIPLETTE;MASCULIN;34;Hérault;Bédarieux;Joyeuse Pétanque
293;1973;Lourdes;65;BOCH Alain;BALLESTER Thierry;RABIER Didier;JUNIOR;TRIPLETTE;MASCULIN;34;Hérault;Montpellier;A-S-Cheminots
294;1974;Toulouse;31;GALLY André;BARATAUD Patrick;AUTEBON Serge;JUNIOR;TRIPLETTE;MASCULIN;31;Haute-Garonne;Toulouse;C-B-St-Pierre
295;1975;Montélimar;26;LEGAL Alain;TRUILHE Bernard;RAYSSAC Patrick;JUNIOR;TRIPLETTE;MASCULIN;82;Tarn & Garonne;Valence d'Agen;Plaça-Pétanque
296;1976;Cahors;46;SENJEAN Eric;SENJEAN Jean-Luc;GARCIA François;JUNIOR;TRIPLETTE;MASCULIN;40;Landes;Dax;ASPTT
297;1977;St-Quentin;2;BAUER Florian;BAUER Maurice;ZIGLER Joseph;JUNIOR;TRIPLETTE;MASCULIN;12;Aveyron;Rodez;Pétanque-Club
298;1978;Chambéry;73;BOUBIN Philippe;LAVEAU Didier;HIOLLET Didier;JUNIOR;TRIPLETTE;MASCULIN;89;Yonne;St-André-Joigny;Pétanque-Club
299;1979;Montluçon;3;DOMEC Eric;LACROUX Thierry;MARIS Bernard;JUNIOR;TRIPLETTE;MASCULIN;31;Haute-Garonne;Toulouse;Vieille-Toulouse
300;1980;Tours;37;THOREL Pascal;THOREL Gwénael;THOREL Bruno;JUNIOR;TRIPLETTE;MASCULIN;44;Loire-Atlantique;St-Nazaire;Pét Omnisport (SNOS)
301;1981;La Courneuve;93;LAMBERT Philippe;BIGOIN Jean-Claude;ZEMMOUR Laurent;JUNIOR;TRIPLETTE;MASCULIN;94;Val-de-Marne;Fresnes;Asso-Amicale-Sportive
302;1982;St-Nazaire;44;DULONG Patrick;DULONG Yannick;HAMOIR Philippe;JUNIOR;TRIPLETTE;MASCULIN;64;Pyrénées-Atlantiques;Mourenx;Amicale-Boule-Complexe
303;1983;Lunéville;54;SOLIGON Alain;PEDURAND Franck;ABAD Patrick;JUNIOR;TRIPLETTE;MASCULIN;82;Tarn & Garonne;Castelsarrasin;E-B-Château Castel
304;1984;Tours;37;PEIFER Manuel;BARDOT Pascal;ASIR Dilaver;JUNIOR;TRIPLETTE;MASCULIN;57;Moselle;Sarreguemines;Pétanque-A-S
305;1985;St-Etienne;42;ROCHER Bruno;LUREAU Franck;GERMAIN Eric;JUNIOR;TRIPLETTE;MASCULIN;72;Sarthe;La Ferté-Bernard;Vélo-Sport-Fertois
306;1986;Toulouse;31;REMIATTE Laurent;REMIATTE Dominique;PONTINHA Eric;JUNIOR;TRIPLETTE;MASCULIN;57;Moselle;Nilvange;Pétanque-Club
307;1987;Chalon/Saône;71;GUILLO Thierry;GUYONNET Stéphane;ROBIN David;JUNIOR;TRIPLETTE;MASCULIN;42;Loire;Firminy;A-P-L Firminy-Vert
308;1988;Brétigny/Orge;91;SANTIAGO Pierre;BARTHELEMY Maryan;FERRAZZOLA Franck;JUNIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Boule Sucrée
309;1989;Gaillard;74;ROGER Fabrice;LOPEZ Julio;BELHAJ Abdelaziz;JUNIOR;TRIPLETTE;MASCULIN;91;Essonne;St-Germain lès Arpajon;Pétanque-Club
310;1990;Vesoul;70;MOLDT Franck;RIBERO Laurent;SCARZELLA Denis;JUNIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Biver/Aix-en-Prov;Non Homogène
311;1991;Soustons;40;PIZZOLATO Jérome;TARTAROLI Christophe;BURET Laurent;JUNIOR;TRIPLETTE;MASCULIN;82;Tarn & Garonne;Castelsarrasin;E-B-Château Castel
312;1992;Nancy;54;SUPPA Marc;GUIDONE Jérome;SCARZELLA Denis;JUNIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Aix-en-Provence;Western Club Pétanque
313;1993;Vichy/Bellerive;3;PUAUD Rudy;TROMEUR Lilian;RUSSON Freddy;JUNIOR;TRIPLETTE;MASCULIN;44;Loire-Atlantique;St-Nazaire;St-Nazaire Pétanque
314;1994;Béziers;34;CANO Antoine;RIVIERE Nicolas;RIZO Daniel;JUNIOR;TRIPLETTE;MASCULIN;06;Alpes Maritimes;Nice;C-B du XV Corps
315;1995;Amnéville;57;GUET Freddy;FINELLE Arnaud;RICHARD Maxime;JUNIOR;TRIPLETTE;MASCULIN;72;Sarthe;La Ferté-Bernard;Vélo-Sport-Fertois
316;1996;Nevers;58;BOUTET Claude;LE CLANCHE Romain;TONDU Adrien;JUNIOR;TRIPLETTE;MASCULIN;45;Loiret;Nogent/Puiseaux/Malesherbes;Non Homogène
317;1997;Le Mans;72;RIFFI Hamid;INNOCENTI Grégory;SOTO Alban;JUNIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;St-Martin de Crau;Boule Commerciale
318;1998;Vichy/Bellerive;3;GUIDO Grégory;KUBLER Thierry;ALEMBERT Sébastien;JUNIOR;TRIPLETTE;MASCULIN;92;Hauts-de-Seine;Gennevilliers;Charly-Pétanque
319;1999;Perpignan;66;COUPE Franck;CAPELLA Stéphane;LAMOUR Julien;JUNIOR;TRIPLETTE;MASCULIN;35;Ille-et-Vilaine;St-Malo/Rennes;Non Homogène
320;2000;Nîmes;30;THIBOUT David;BARBER Benjamin;CAMIN Laurent;JUNIOR;TRIPLETTE;MASCULIN;11;Aude;Coursan;Coursan-Pétanque
321;2001;Bordeaux;33;BARDY Laurent;REGNEAU Fabien;BOURDIN Mickael;JUNIOR;TRIPLETTE;MASCULIN;45;Loiret;Orléans-Fleury;Cercle J-Ferry Pétanque
322;2002;Vichy/Bellerive;3;THIEBAUT Adrien;HARTUNG Frédéric;STEIB Grégory;JUNIOR;TRIPLETTE;MASCULIN;54;Meurthe & Moselle;Nancy/Pont-à-Mousson;Non Homogène
323;2003;Illzach;68;PRIEUR Anthony;GASPARD Christopher;MONIN Jimmy;JUNIOR;TRIPLETTE;MASCULIN;51;Champagne-Ardennes;Reims;Non Homogène
324;2004;Valence;26;TEISSIER Lonny;AUJOULAT David;KORE Joyce;JUNIOR;TRIPLETTE;MASCULIN;30;Gard;Salindres/Gd-Combe/Milhaud;Non Homogène
325;2005;Nevers;58;SAVIN Angy;PERRET Tony;VANEL Maxime;JUNIOR;TRIPLETTE;MASCULIN;84;P-A-C-A;Monteux/Orange;Non Homogène
326;2006;Nantes;44;MICHEL Patxi;MAYER Christophe;THIERRY Romain;JUNIOR;TRIPLETTE;MASCULIN;64;Pyrénées-Atlantiques;Bayonne/Biron/ Artix;Non Homogène
327;2007;Montluçon;3;MARION Kévin;CLERE Logan;ROGET Geoffrey;JUNIOR;TRIPLETTE;MASCULIN;59;Hauts-de-France;Dunkerque/Ford-Mardyck/Haumont;Non Homogène
328;2008;Romans;26;ROCHER Dylan;ROCHER Gueven;COUTANSON Florent;JUNIOR;TRIPLETTE;MASCULIN;72;Sarthe;Le Mans;Club Rocher Le Mans
329;2009;Nevers;58;MOUREAUX-FONTAN Vianney;ROCHER Gueven;ROGER Mathieu;JUNIOR;TRIPLETTE;MASCULIN;64;Pyrénées-Atlantiques;Biron/Pau;Non Homogène
330;2010;Beaucaire;30;CASSAGNAUD Kévin;CHAMPIGNEUL Kenny;GHRIFA Kévin;JUNIOR;TRIPLETTE;MASCULIN;81;Tarn;Aussillon/St-Sulpice/Gaillac;Non Homogène
331;2011;Beaucaire;30;ROUSSEAU Baptiste;ROCHER Mendy;VIELLE Alexandre;JUNIOR;TRIPLETTE;MASCULIN;72;Sarthe;Le Mans;Club Rocher Le Mans
332;2012;Nevers;58;VERZEAUX Médéric;RAMEAU Benjamin;POMMIER Benoît;JUNIOR;TRIPLETTE;MASCULIN;71;Bourgogne;Mâcon/Montceau-les-Mines;Non Homogène
333;2013;Nevers;58;CHALOT Romain;VAILLANT Thibaud;VIELLE Alexandre;JUNIOR;TRIPLETTE;MASCULIN;72;Pays-de-la-loire;Château-du-Loir/Le Mans;Non Homogène
334;2014;Soustons;40;DE MACEDO Antoine;BEULAMA Valentin;PINTO Enzo;JUNIOR;TRIPLETTE;MASCULIN;3;Auvergne;Montluçon;Amicale des Marais
335;2015;Nevers;58;VAILLANT Thibaud;ZENI Fabio;GERMAIN Incliff;JUNIOR;TRIPLETTE;MASCULIN;72;Sarthe;Le Mans/Arnage;Non Homogène
336;2016;Varennes-sur-Allier;3;GODARD Thomas;ESCOLANO Thibault;BOULANGER Delson;JUNIOR;TRIPLETTE;MASCULIN;82;Midi-Pyrénées;Montpezat-de-Quercy;Petanque Montpezataise
337;1962;Bordeaux;33;LE HER Hervé;BOURREL Jean-Pierre;ARAUD Christian;CADET;TRIPLETTE;MASCULIN;31;Haute-Garonne;Toulouse;Club du Fer-à-Cheval
338;1963;Toulouse;31;ROUVIERE Serge;DEGUILHEM Patrice;PERRE Henri;CADET;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Arles;Boule Provençale
339;1964;Carcassonne;11;COUSTET Guy;MALBOSC Claude;CAUSSE Guy;CADET;TRIPLETTE;MASCULIN;12;Aveyron;Villefranche de Rouergue;Pétanque Villefranchoise
340;1965;Verneuil/Avre;27;GARDERES Pierre;GARDERES Bernard;TISNE Roger;CADET;TRIPLETTE;MASCULIN;33;Gironde;Bordeaux;Non Homogène
